id	pop
AC_2013_1_finland	finland
AC_2013_2_finland	finland
AC_2013_3_finland	finland
AC_2013_4_finland	finland
AC_2013_5_finland	finland
AC_2013_6_finland	finland
AC_2013_7_finland	finland
AC_2013_8_finland	finland
AC_2013_9_finland	finland
AC_2013_10_finland	finland
AC_2013_11_finland	finland
AC_2013_12_finland	finland
AC_2013_13_finland	finland
AC_2013_14_finland	finland
AC_2013_15_finland	finland
AC_2013_16_finland	finland
AC_2013_17_finland	finland
AC_2013_18_finland	finland
AC_2013_19_finland	finland
AC_2013_20_finland	finland
AC_2013_21_finland	finland
AC_2013_22_finland	finland
AC_2013_23_finland	finland
AC_2013_24_finland	finland
AC_2013_25_finland	finland
AC_2013_26_finland	finland
AC_2013_27_finland	finland
AC_2013_28_finland	finland
AC_2013_29_finland	finland
AC_2013_30_finland	finland
AC_2013_31_finland	finland
AC_2013_32_finland	finland
AC_2013_33_finland	finland
AC_2013_34_finland	finland
AC_2013_35_finland	finland
AC_2013_36_finland	finland
AC_2013_37_finland	finland
AC_2013_38_finland	finland
AC_2013_39_finland	finland
AC_2014_1_finland	finland
AC_2014_2_finland	finland
AC_2014_3_finland	finland
AC_2014_4_finland	finland
AC_2014_5_finland	finland
AC_2014_6_finland	finland
AC_2014_7_finland	finland
AC_2014_8_finland	finland
AC_2014_9_finland	finland
AC_2014_10_finland	finland
AC_2014_11_finland	finland
AC_2014_12_finland	finland
AC_2014_13_finland	finland
AC_2014_14_finland	finland
AC_2014_15_finland	finland
AC_2014_16_finland	finland
AC_2014_17_finland	finland
AC_2014_18_finland	finland
AC_2014_19_finland	finland
AC_2014_20_finland	finland
AC_2014_21_finland	finland
AC_2014_22_finland	finland
AC_2014_23_finland	finland
AC_2014_24_finland	finland
AC_2014_25_finland	finland
AC_2014_26_finland	finland
AC_2014_27_finland	finland
AC_2014_28_finland	finland
AC_2014_29_finland	finland
AC_2014_30_finland	finland
AC_2014_31_finland	finland
AC_2014_32_finland	finland
AC_2014_33_finland	finland
AC_2014_34_finland	finland
AC_2014_35_finland	finland
AC_2014_36_finland	finland
AC_2014_37_finland	finland
AC_2014_39_finland	finland
AC_2015_1_finland	finland
AC_2015_2_finland	finland
AC_2015_3_finland	finland
AC_2015_4_finland	finland
AC_2015_5_finland	finland
AC_2015_6_finland	finland
AC_2015_7_finland	finland
AC_2015_8_finland	finland
AC_2015_9_finland	finland
AC_2015_10_finland	finland
AC_2015_11_finland	finland
AC_2015_12_finland	finland
AC_2015_13_finland	finland
AC_2015_14_finland	finland
AC_2015_15_finland	finland
AC_2015_16_finland	finland
AC_2015_17_finland	finland
AC_2015_18_finland	finland
AC_2015_19_finland	finland
AC_2015_20_finland	finland
AC_2015_21_finland	finland
AC_2015_22_finland	finland
AC_2015_23_finland	finland
AC_2015_24_finland	finland
AC_2015_25_finland	finland
AC_2015_26_finland	finland
AC_2015_27_finland	finland
AC_2015_28_finland	finland
AC_2015_29_finland	finland
AC_2015_30_finland	finland
AC_2015_31_finland	finland
AC_2015_32_finland	finland
AC_2015_33_finland	finland
AC_2015_34_finland	finland
AC_2015_35_finland	finland
AC_2015_36_finland	finland
AC_2019_1_finland	finland
AC_2019_2_finland	finland
AC_2019_3_finland	finland
AC_2019_4_finland	finland
AC_2019_5_finland	finland
AC_2019_6_finland	finland
AC_2019_7_finland	finland
AC_2019_8_finland	finland
AC_2019_9_finland	finland
AC_2019_10_finland	finland
AC_2019_11_finland	finland
AC_2019_12_finland	finland
AC_2019_13_finland	finland
AC_2019_14_finland	finland
AC_2019_15_finland	finland
AC_2019_16_finland	finland
AC_2019_17_finland	finland
AC_2019_18_finland	finland
AC_2019_19_finland	finland
AC_2019_20_finland	finland
AC_2019_21_finland	finland
AC_2019_22_finland	finland
AC_2019_23_finland	finland
AC_2019_24_finland	finland
AC_2019_26_finland	finland
AC_2019_27_finland	finland
AC_2019_28_finland	finland
AC_2019_29_finland	finland
AC_2019_30_finland	finland
AC_2019_31_finland	finland
AC_2019_32_finland	finland
AC_2019_33_finland	finland
AC_2019_34_finland	finland
AC_2019_35_finland	finland
AC_2019_36_finland	finland
AC_2019_37_finland	finland
AC_2019_38_finland	finland
AC_2019_39_finland	finland
AC_2019_40_finland	finland
AC_2019_41_finland	finland
AC_2019_42_finland	finland
AC_2019_43_finland	finland
AC_2019_44_finland	finland
AC_2019_45_finland	finland
AC_2019_46_finland	finland
AC_2019_47_finland	finland
AC_2019_48_finland	finland
AC_2019_49_finland	finland
AC_2019_50_finland	finland
AC_2019_51_finland	finland
AC_2019_52_finland	finland
AC_2019_53_finland	finland
AC_2019_54_finland	finland
AC_2019_55_finland	finland
AC_2019_56_finland	finland
AC_2019_57_finland	finland
AC_2019_58_finland	finland
AC_2019_59_finland	finland
AC_2019_60_finland	finland
ac_norway_001	norway
ac_norway_002	norway
ac_norway_003	norway
ac_norway_004	norway
ac_norway_005	norway
ac_norway_006	norway
ac_norway_007	norway
ac_norway_008	norway
ac_norway_009	norway
ac_norway_010	norway
ac_norway_011	norway
ac_norway_012	norway
ac_norway_013	norway
ac_norway_014	norway
ac_norway_015	norway
ac_norway_016	norway
ac_norway_017	norway
ac_norway_018	norway
ac_norway_019	norway
ac_norway_020	norway
ac_norway_021	norway
ac_norway_022	norway
ac_norway_023	norway
ac_norway_024	norway
ac_norway_025	norway
ac_norway_026	norway
ac_norway_027	norway
ac_norway_028	norway
ac_norway_029	norway
ac_norway_030	norway
ac_norway_031	norway
ac_norway_032	norway
ac_norway_033	norway
ac_norway_034	norway
ac_norway_035	norway
ac_norway_036	norway
