id	pop
AC_2013_1_finland	Finland
AC_2013_2_finland	Finland
AC_2013_3_finland	Finland
AC_2013_4_finland	Finland
AC_2013_5_finland	Finland
AC_2013_6_finland	Finland
AC_2013_7_finland	Finland
AC_2013_8_finland	Finland
AC_2013_9_finland	Finland
AC_2013_10_finland	Finland
AC_2013_11_finland	Finland
AC_2013_12_finland	Finland
AC_2013_13_finland	Finland
AC_2013_14_finland	Finland
AC_2013_15_finland	Finland
AC_2013_16_finland	Finland
AC_2013_17_finland	Finland
AC_2013_18_finland	Finland
AC_2013_19_finland	Finland
AC_2013_20_finland	Finland
AC_2013_21_finland	Finland
AC_2013_22_finland	Finland
AC_2013_23_finland	Finland
AC_2013_24_finland	Finland
AC_2013_25_finland	Finland
AC_2013_26_finland	Finland
AC_2013_27_finland	Finland
AC_2013_28_finland	Finland
AC_2013_29_finland	Finland
AC_2013_30_finland	Finland
AC_2013_31_finland	Finland
AC_2013_32_finland	Finland
AC_2013_33_finland	Finland
AC_2013_34_finland	Finland
AC_2013_35_finland	Finland
AC_2013_36_finland	Finland
AC_2013_38_finland	Finland
AC_2013_39_finland	Finland
AC_2014_1_finland	Finland
AC_2014_2_finland	Finland
AC_2014_3_finland	Finland
AC_2014_4_finland	Finland
AC_2014_5_finland	Finland
AC_2014_6_finland	Finland
AC_2014_7_finland	Finland
AC_2014_8_finland	Finland
AC_2014_9_finland	Finland
AC_2014_10_finland	Finland
AC_2014_11_finland	Finland
AC_2014_12_finland	Finland
AC_2014_13_finland	Finland
AC_2014_14_finland	Finland
AC_2014_15_finland	Finland
AC_2014_16_finland	Finland
AC_2014_17_finland	Finland
AC_2014_18_finland	Finland
AC_2014_19_finland	Finland
AC_2014_20_finland	Finland
AC_2014_21_finland	Finland
AC_2014_22_finland	Finland
AC_2014_23_finland	Finland
AC_2014_24_finland	Finland
AC_2014_25_finland	Finland
AC_2014_26_finland	Finland
AC_2014_27_finland	Finland
AC_2014_28_finland	Finland
AC_2014_29_finland	Finland
AC_2014_30_finland	Finland
AC_2014_31_finland	Finland
AC_2014_32_finland	Finland
AC_2014_33_finland	Finland
AC_2014_34_finland	Finland
AC_2014_35_finland	Finland
AC_2014_36_finland	Finland
AC_2014_37_finland	Finland
AC_2014_39_finland	Finland
AC_2015_1_finland	Finland
AC_2015_2_finland	Finland
AC_2015_4_finland	Finland
AC_2015_5_finland	Finland
AC_2015_6_finland	Finland
AC_2015_7_finland	Finland
AC_2015_8_finland	Finland
AC_2015_9_finland	Finland
AC_2015_11_finland	Finland
AC_2015_12_finland	Finland
AC_2015_13_finland	Finland
AC_2015_14_finland	Finland
AC_2015_15_finland	Finland
AC_2015_16_finland	Finland
AC_2015_17_finland	Finland
AC_2015_19_finland	Finland
AC_2015_20_finland	Finland
AC_2015_21_finland	Finland
AC_2015_22_finland	Finland
AC_2015_23_finland	Finland
AC_2015_24_finland	Finland
AC_2015_25_finland	Finland
AC_2015_26_finland	Finland
AC_2015_27_finland	Finland
AC_2015_28_finland	Finland
AC_2015_29_finland	Finland
AC_2015_31_finland	Finland
AC_2015_32_finland	Finland
AC_2015_33_finland	Finland
AC_2015_34_finland	Finland
AC_2015_35_finland	Finland
AC_2015_36_finland	Finland
AC_2019_1_finland	Finland
AC_2019_2_finland	Finland
AC_2019_3_finland	Finland
AC_2019_4_finland	Finland
AC_2019_5_finland	Finland
AC_2019_6_finland	Finland
AC_2019_7_finland	Finland
AC_2019_8_finland	Finland
AC_2019_9_finland	Finland
AC_2019_10_finland	Finland
AC_2019_11_finland	Finland
AC_2019_12_finland	Finland
AC_2019_13_finland	Finland
AC_2019_14_finland	Finland
AC_2019_15_finland	Finland
AC_2019_16_finland	Finland
AC_2019_17_finland	Finland
AC_2019_18_finland	Finland
AC_2019_19_finland	Finland
AC_2019_20_finland	Finland
AC_2019_21_finland	Finland
AC_2019_22_finland	Finland
AC_2019_23_finland	Finland
AC_2019_24_finland	Finland
AC_2019_26_finland	Finland
AC_2019_27_finland	Finland
AC_2019_28_finland	Finland
AC_2019_29_finland	Finland
AC_2019_30_finland	Finland
AC_2019_31_finland	Finland
AC_2019_32_finland	Finland
AC_2019_33_finland	Finland
AC_2019_34_finland	Finland
AC_2019_35_finland	Finland
AC_2019_37_finland	Finland
AC_2019_38_finland	Finland
AC_2019_39_finland	Finland
AC_2019_40_finland	Finland
AC_2019_41_finland	Finland
AC_2019_42_finland	Finland
AC_2019_43_finland	Finland
AC_2019_44_finland	Finland
AC_2019_45_finland	Finland
AC_2019_46_finland	Finland
AC_2019_47_finland	Finland
AC_2019_48_finland	Finland
AC_2019_49_finland	Finland
AC_2019_50_finland	Finland
AC_2019_51_finland	Finland
AC_2019_52_finland	Finland
AC_2019_53_finland	Finland
AC_2019_54_finland	Finland
AC_2019_55_finland	Finland
AC_2019_56_finland	Finland
AC_2019_57_finland	Finland
AC_2019_58_finland	Finland
AC_2019_59_finland	Finland
AC_2019_60_finland	Finland
ac_norway_001	Norway
ac_norway_002	Norway
ac_norway_003	Norway
ac_norway_004	Norway
ac_norway_005	Norway
ac_norway_006	Norway
ac_norway_007	Norway
ac_norway_008	Norway
ac_norway_009	Norway
ac_norway_010	Norway
ac_norway_011	Norway
ac_norway_012	Norway
ac_norway_013	Norway
ac_norway_015	Norway
ac_norway_016	Norway
ac_norway_017	Norway
ac_norway_018	Norway
ac_norway_019	Norway
ac_norway_020	Norway
ac_norway_021	Norway
ac_norway_022	Norway
ac_norway_023	Norway
ac_norway_024	Norway
ac_norway_025	Norway
ac_norway_027	Norway
ac_norway_028	Norway
